,Region,Subregion,Country,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
18HYF_07,Americas,South America,Chile,75,102,475,529,0,1095,62672,588
18HYF_08,Americas,South America,Argentina,0,0,203,3740,0,649,20024,40920
18HYF_08,Americas,South America,Chile,0,0,203,3740,0,649,20024,40920
18HYF_09,Americas,South America,Argentina,12,11,3803,0,107,8143,2697,50763
18HYF_09,Americas,South America,Chile,12,11,3803,0,107,8143,2697,50763
18HYF_10,Americas,South America,Argentina,21,0,882,163,0,59663,806,4001
18HYF_10,Americas,South America,Chile,21,0,882,163,0,59663,806,4001
18HYF_11,Americas,South America,Argentina,194,77,98,0,253,614,61593,2707
18HYF_11,Americas,South America,Chile,194,77,98,0,253,614,61593,2707
18HYF_12,Americas,South America,Argentina,28,0,1441,0,0,41915,16879,5273
18HYF_12,Americas,South America,Chile,28,0,1441,0,0,41915,16879,5273
18HYF_13,Americas,South America,Argentina,251,1,1824,0,0,694,60830,1936
18HYF_13,Americas,South America,Chile,251,1,1824,0,0,694,60830,1936
18HYF_14,Americas,South America,Argentina,6,605,371,395,14,4078,49022,11045
18HYF_14,Americas,South America,Chile,6,605,371,395,14,4078,49022,11045
18HYF_15,Americas,South America,Argentina,2,0,87,285,0,22910,4102,38150
18HYF_15,Americas,South America,Chile,2,0,87,285,0,22910,4102,38150
18HYF_16,Americas,South America,Argentina,31,30,1675,0,35,1671,55874,6220
18HYF_16,Americas,South America,Chile,31,30,1675,0,35,1671,55874,6220
18HYF_17,Americas,South America,Argentina,0,0,1010,0,0,11139,22405,30982
18HYF_17,Americas,South America,Chile,0,0,1010,0,0,11139,22405,30982
18HYF_18,Americas,South America,Argentina,136,1828,1140,0,0,1754,56150,4528
18HYF_18,Americas,South America,Chile,136,1828,1140,0,0,1754,56150,4528
18HYF_19,Americas,South America,Argentina,98,18,4405,9,0,26529,27052,7425
18HYF_19,Americas,South America,Chile,98,18,4405,9,0,26529,27052,7425
18HYF_20,Americas,South America,Argentina,1,88,999,0,0,33894,12207,18347
18HYF_20,Americas,South America,Chile,1,88,999,0,0,33894,12207,18347
18HYF_21,Americas,South America,Argentina,0,45,0,4,0,57937,194,7356
18HYF_21,Americas,South America,Chile,0,45,0,4,0,57937,194,7356
18HYF_22,Americas,South America,Argentina,7,0,983,0,0,17707,44752,2087
18HYF_22,Americas,South America,Chile,7,0,983,0,0,17707,44752,2087
18HYF_23,Americas,South America,Argentina,178,722,1450,0,140,11025,33612,18409
18HYF_23,Americas,South America,Chile,178,722,1450,0,140,11025,33612,18409
18HYF_24,Americas,South America,Argentina,97,4072,564,0,0,5261,48433,7109
18HYF_24,Americas,South America,Chile,97,4072,564,0,0,5261,48433,7109
18HYF_25,Americas,South America,Argentina,33,0,2163,0,0,23228,11018,29094
18HYF_25,Americas,South America,Chile,33,0,2163,0,0,23228,11018,29094
18HYF_26,Americas,South America,Argentina,0,0,233,541,0,61286,984,2492
18HYF_26,Americas,South America,Chile,0,0,233,541,0,61286,984,2492
18HYF_27,Americas,South America,Argentina,13,202,1385,0,0,3289,57321,3326
18HYF_27,Americas,South America,Chile,13,202,1385,0,0,3289,57321,3326
18HYF_28,Americas,South America,Argentina,4,74,578,0,0,59441,215,5224
18HYF_28,Americas,South America,Chile,4,74,578,0,0,59441,215,5224
18HYF_29,Americas,South America,Argentina,0,0,1500,0,0,4798,2582,56656
18HYF_29,Americas,South America,Chile,0,0,1500,0,0,4798,2582,56656
19GCN_00,Americas,South America,Argentina,0,59466,0,883,1067,0,0,4120
19GCN_00,Americas,South America,Chile,0,59466,0,883,1067,0,0,4120
19GCN_01,Americas,South America,Argentina,0,2989,1403,55146,0,0,0,5998
19GCN_01,Americas,South America,Chile,0,2989,1403,55146,0,0,0,5998
19GCN_02,Americas,South America,Argentina,0,0,0,23552,0,0,0,41984
19GCN_02,Americas,South America,Chile,0,0,0,23552,0,0,0,41984
19GCN_03,Americas,South America,Argentina,0,29,0,6932,240,0,0,58335
19GCN_03,Americas,South America,Chile,0,29,0,6932,240,0,0,58335
19GCN_04,Americas,South America,Argentina,0,0,0,0,1,59259,0,6276
19GCN_04,Americas,South America,Chile,0,0,0,0,1,59259,0,6276
19GCN_05,Americas,South America,Argentina,0,75,536,0,3,133,64561,228
19GCN_05,Americas,South America,Chile,0,75,536,0,3,133,64561,228
19GCN_06,Americas,South America,Argentina,0,0,26,0,8,402,12,65088
19GCN_06,Americas,South America,Chile,0,0,26,0,8,402,12,65088
19GCN_07,Americas,South America,Argentina,0,0,1121,28455,0,0,0,35960
19GCN_07,Americas,South America,Chile,0,0,1121,28455,0,0,0,35960
19GCN_08,Americas,South America,Argentina,0,0,46,38866,0,0,0,26624
19GCN_08,Americas,South America,Chile,0,0,46,38866,0,0,0,26624
19GCN_09,Americas,South America,Argentina,0,0,249,0,0,32817,0,32470
19GCN_09,Americas,South America,Chile,0,0,249,0,0,32817,0,32470
19GCN_10,Americas,South America,Argentina,0,0,0,44931,0,0,0,20605
19GCN_10,Americas,South America,Chile,0,0,0,44931,0,0,0,20605
19GCN_11,Americas,South America,Argentina,0,0,0,27351,0,64,0,38121
19GCN_11,Americas,South America,Chile,0,0,0,27351,0,64,0,38121
19GCN_12,Americas,South America,Argentina,1,0,109,34737,0,0,0,30689
19GCN_12,Americas,South America,Chile,1,0,109,34737,0,0,0,30689
19GCN_13,Americas,South America,Argentina,0,12364,38,0,0,5853,203,47078
19GCN_13,Americas,South America,Chile,0,12364,38,0,0,5853,203,47078
19GCN_14,Americas,South America,Argentina,0,0,81,57080,1,0,0,8374
19GCN_14,Americas,South America,Chile,0,0,81,57080,1,0,0,8374
19GCN_15,Americas,South America,Argentina,405,97,0,14715,48767,123,0,1429
19GCN_15,Americas,South America,Chile,405,97,0,14715,48767,123,0,1429
19GCN_16,Americas,South America,Argentina,12,0,0,113,6144,28815,0,30452
19GCN_16,Americas,South America,Chile,12,0,0,113,6144,28815,0,30452
19GCN_17,Americas,South America,Argentina,0,0,53,36903,0,239,0,28341
19GCN_17,Americas,South America,Chile,0,0,53,36903,0,239,0,28341
19GCN_18,Americas,South America,Argentina,0,0,0,50787,0,0,0,14749
19GCN_18,Americas,South America,Chile,0,0,0,50787,0,0,0,14749
19GCN_19,Americas,South America,Argentina,0,0,13,47311,0,0,0,18212
19GCN_19,Americas,South America,Chile,0,0,13,47311,0,0,0,18212
19GCN_20,Americas,South America,Argentina,0,0,0,35825,0,0,0,29711
19GCN_20,Americas,South America,Chile,0,0,0,35825,0,0,0,29711
19GCN_21,Americas,South America,Argentina,0,0,129,48425,0,0,0,16982
19GCN_21,Americas,South America,Chile,0,0,129,48425,0,0,0,16982
19GCN_22,Americas,South America,Argentina,41,0,681,0,4,9878,87,54845
19GCN_22,Americas,South America,Chile,41,0,681,0,4,9878,87,54845
19GCN_23,Americas,South America,Argentina,4,0,42,0,0,30493,0,34997
19GCN_23,Americas,South America,Chile,4,0,42,0,0,30493,0,34997
19GCN_24,Americas,South America,Argentina,1,0,1,31475,155,27914,0,5990
19GCN_24,Americas,South America,Chile,1,0,1,31475,155,27914,0,5990
19GCN_25,Americas,South America,Argentina,0,0,2,0,0,288,0,65246
19GCN_25,Americas,South America,Chile,0,0,2,0,0,288,0,65246
19GCN_26,Americas,South America,Argentina,0,0,2,46874,1,0,0,18659
19GCN_26,Americas,South America,Chile,0,0,2,46874,1,0,0,18659
19GCN_27,Americas,South America,Argentina,0,0,3,64482,0,0,989,62
19GCN_27,Americas,South America,Chile,0,0,3,64482,0,0,989,62
19GCN_28,Americas,South America,Argentina,0,0,0,61319,0,0,0,4217
19GCN_28,Americas,South America,Chile,0,0,0,61319,0,0,0,4217
19GCN_29,Americas,South America,Argentina,3,1130,54,61554,39,323,1745,688
19GCN_29,Americas,South America,Chile,3,1130,54,61554,39,323,1745,688
19GGM_00,Americas,South America,Argentina,0,65536,0,0,0,0,0,0
19GGM_01,Americas,South America,Argentina,0,0,4672,48643,0,0,0,12221
19GGM_02,Americas,South America,Argentina,4,0,0,48582,0,0,0,16950
19GGM_03,Americas,South America,Argentina,0,0,732,35294,0,0,611,28899
19GGM_04,Americas,South America,Argentina,0,0,0,40958,0,2,0,24576
19GGM_05,Americas,South America,Argentina,0,108,181,0,0,416,63421,1410
19GGM_06,Americas,South America,Argentina,90,164,822,0,0,1252,58015,5193
19GGM_07,Americas,South America,Argentina,0,0,2048,46080,0,0,0,17408
19GGM_08,Americas,South America,Argentina,0,0,1206,44971,0,0,0,19359
19GGM_09,Americas,South America,Argentina,0,0,1958,30465,0,0,0,33113
19GGM_10,Americas,South America,Argentina,0,0,3703,9122,0,0,0,52711
19GGM_11,Americas,South America,Argentina,0,0,3747,14494,0,0,0,47295
19GGM_12,Americas,South America,Argentina,1,0,7441,15177,0,53,256,42608
19GGM_13,Americas,South America,Argentina,0,0,385,5401,0,0,0,59750
19GGM_14,Americas,South America,Argentina,1,0,499,6783,0,0,0,58253
19GGM_15,Americas,South America,Argentina,14,1413,1333,1904,0,598,10208,50066
19GGM_16,Americas,South America,Argentina,0,0,394,57,0,0,0,65085
19GGM_17,Americas,South America,Argentina,0,0,217,0,0,0,0,65319
19GGM_18,Americas,South America,Argentina,0,0,206,466,0,0,0,64864
19GGM_19,Americas,South America,Argentina,0,0,1029,0,0,0,0,64507
19GGM_20,Americas,South America,Argentina,0,0,0,0,0,0,0,65536
19GGM_21,Americas,South America,Argentina,0,0,0,330,0,0,0,65206
19GGM_22,Americas,South America,Argentina,0,0,1260,66,0,0,0,64210
19GGM_23,Americas,South America,Argentina,0,0,124,0,0,0,0,65412
19GGM_24,Americas,South America,Argentina,0,0,20,0,0,0,0,65516
19GGM_25,Americas,South America,Argentina,0,0,390,0,0,0,0,65146
19GGM_26,Americas,South America,Argentina,0,0,662,0,0,0,0,64874
19GGM_27,Americas,South America,Argentina,0,0,191,18,0,0,0,65327
19GGM_28,Americas,South America,Argentina,0,0,294,46,0,0,0,65196
19GGM_29,Americas,South America,Argentina,0,0,0,0,0,0,0,65536
19HFT_00,Americas,South America,Argentina,0,65536,0,0,0,0,0,0
19HFT_00,Americas,South America,Chile,0,65536,0,0,0,0,0,0
19HFT_01,Americas,South America,Argentina,0,0,1024,12288,0,0,0,52224
19HFT_01,Americas,South America,Chile,0,0,1024,12288,0,0,0,52224
19HFT_02,Americas,South America,Argentina,0,0,451,12674,0,0,0,52411
19HFT_02,Americas,South America,Chile,0,0,451,12674,0,0,0,52411
19HFT_03,Americas,South America,Argentina,0,255,2308,3572,0,4172,10015,45214
19HFT_03,Americas,South America,Chile,0,255,2308,3572,0,4172,10015,45214
19HFT_04,Americas,South America,Argentina,22,61,2255,3335,0,887,18433,40543
19HFT_04,Americas,South America,Chile,22,61,2255,3335,0,887,18433,40543
19HFT_05,Americas,South America,Argentina,0,659,0,1937,0,67,4,62869
19HFT_05,Americas,South America,Chile,0,659,0,1937,0,67,4,62869
19HFT_06,Americas,South America,Argentina,0,0,102,5107,0,0,0,60327
19HFT_06,Americas,South America,Chile,0,0,102,5107,0,0,0,60327
19HFT_07,Americas,South America,Argentina,0,0,1109,3985,0,0,0,60442
19HFT_07,Americas,South America,Chile,0,0,1109,3985,0,0,0,60442
19HFT_08,Americas,South America,Argentina,0,0,471,19885,0,0,2207,42973
19HFT_08,Americas,South America,Chile,0,0,471,19885,0,0,2207,42973
19HFT_09,Americas,South America,Argentina,0,0,502,42,0,324,944,63724
19HFT_09,Americas,South America,Chile,0,0,502,42,0,324,944,63724
19HFT_10,Americas,South America,Argentina,0,0,820,3963,0,0,151,60602
19HFT_10,Americas,South America,Chile,0,0,820,3963,0,0,151,60602
19HFT_11,Americas,South America,Argentina,0,0,225,0,0,66,0,65245
19HFT_11,Americas,South America,Chile,0,0,225,0,0,66,0,65245
19HFT_12,Americas,South America,Argentina,0,0,1454,2267,0,0,0,61815
19HFT_12,Americas,South America,Chile,0,0,1454,2267,0,0,0,61815
19HFT_13,Americas,South America,Argentina,0,0,292,34,0,99,0,65111
19HFT_13,Americas,South America,Chile,0,0,292,34,0,99,0,65111
19HFT_14,Americas,South America,Argentina,0,0,315,677,0,0,0,64544
19HFT_14,Americas,South America,Chile,0,0,315,677,0,0,0,64544
19HFT_15,Americas,South America,Argentina,0,0,32,176,0,0,0,65328
19HFT_15,Americas,South America,Chile,0,0,32,176,0,0,0,65328
19HFT_16,Americas,South America,Argentina,0,0,75,761,0,0,0,64700
19HFT_16,Americas,South America,Chile,0,0,75,761,0,0,0,64700
19HFT_17,Americas,South America,Argentina,0,0,353,345,0,3739,175,60924
19HFT_17,Americas,South America,Chile,0,0,353,345,0,3739,175,60924
19HFT_18,Americas,South America,Argentina,0,0,0,2041,0,0,0,63495
19HFT_18,Americas,South America,Chile,0,0,0,2041,0,0,0,63495
19HFT_19,Americas,South America,Argentina,0,0,155,0,0,281,0,65100
19HFT_19,Americas,South America,Chile,0,0,155,0,0,281,0,65100
19HFT_20,Americas,South America,Argentina,0,0,632,82,0,0,0,64822
19HFT_20,Americas,South America,Chile,0,0,632,82,0,0,0,64822
19HFT_21,Americas,South America,Argentina,0,0,450,21,0,37,0,65028
19HFT_21,Americas,South America,Chile,0,0,450,21,0,37,0,65028
19HFT_22,Americas,South America,Argentina,0,0,13,0,0,0,0,65523
19HFT_22,Americas,South America,Chile,0,0,13,0,0,0,0,65523
19HFT_23,Americas,South America,Argentina,0,0,36,0,0,0,0,65500
19HFT_23,Americas,South America,Chile,0,0,36,0,0,0,0,65500
19HFT_24,Americas,South America,Argentina,0,0,407,2048,0,13,0,63068
19HFT_24,Americas,South America,Chile,0,0,407,2048,0,13,0,63068
19HFT_25,Americas,South America,Argentina,0,0,0,0,0,0,0,65536
19HFT_25,Americas,South America,Chile,0,0,0,0,0,0,0,65536
19HFT_26,Americas,South America,Argentina,0,0,81,44,0,0,0,65411
19HFT_26,Americas,South America,Chile,0,0,81,44,0,0,0,65411
19HFT_27,Americas,South America,Argentina,0,0,381,1068,0,14,0,64073
19HFT_27,Americas,South America,Chile,0,0,381,1068,0,14,0,64073
19HFT_28,Americas,South America,Argentina,0,0,1231,1149,0,59,0,63097
19HFT_28,Americas,South America,Chile,0,0,1231,1149,0,59,0,63097
19HFT_29,Americas,South America,Argentina,0,0,318,1234,0,71,0,63913
19HFT_29,Americas,South America,Chile,0,0,318,1234,0,71,0,63913
19HGA_00,Americas,South America,Argentina,104,3560,51,57422,0,203,165,4031
