identifier,test,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
36SXH_04,False,0,0,922,0,0,69,64505,40
39UUS_25,False,0,7,34624,0,0,989,29681,235
45UXV_02,False,0,3155,1270,0,4591,43065,7850,5605
50MRA_17,False,0,0,2087,0,0,4196,53813,5440
50TNT_04,False,0,0,0,0,0,0,65536,0
46REU_03,True,0,201,0,0,0,64610,86,639
46RFV_13,False,0,1165,156,0,160,7144,5717,51194
38TLL_09,False,0,0,68,0,132,24005,1774,39557
50MLC_27,False,0,0,0,0,0,65365,170,1
46TDT_16,False,0,0,0,63202,0,0,0,2334
51QUG_26,False,0,0,0,0,0,65523,0,13
48MTE_05,False,0,0,0,0,0,65536,0,0
44QMG_27,False,0,27,0,0,0,64757,0,752
53TLM_18,True,0,0,0,0,0,64006,0,1530
48SVA_27,False,8,1013,2006,0,0,108,36701,25700
47RLN_10,True,536,0,0,4405,60595,0,0,0
41TMN_04,False,0,0,0,18678,0,0,0,46858
42UVA_24,True,0,0,0,0,0,0,5800,59736
47UMA_19,True,0,0,0,0,0,15879,38539,11118
54MYA_06,True,0,0,0,0,100,25347,0,40089
57VVE_22,False,0,0,0,0,0,56281,0,9255
39UUS_22,False,15,0,9266,0,0,920,37426,17909
44QMG_18,True,2,4666,707,0,0,18777,25468,15916
45UXV_05,False,0,74,0,0,4,1,0,65457
50MRA_10,False,0,4,5542,0,8,4148,50571,5263
51QUG_19,False,0,0,34,0,496,51178,22,13806
46TDT_29,False,0,0,0,57728,2691,0,0,5117
36SXH_03,True,0,0,1047,1598,0,49041,32,13818
50MLC_18,False,0,0,49,0,0,48711,16435,341
50SPF_15,False,223,0,12832,0,309,1,52144,27
42SXG_01,False,78,2305,33336,16059,0,80,878,12800
47UMA_26,False,0,0,0,0,0,8567,0,56969
53TLM_27,False,0,0,0,0,0,63459,70,2007
48SVA_18,False,0,0,55,0,0,64735,643,103
41TNE_17,False,0,0,0,65536,0,0,0,0
45TWG_19,False,0,0,0,65536,0,0,0,0
39TXM_15,False,7,3083,1,62445,0,0,0,0
45RWM_20,False,0,0,0,65536,0,0,0,0
49TFJ_02,False,1,0,0,65535,0,0,0,0
53UNS_08,False,0,0,856,0,45,36883,0,27752
49QCE_24,True,4,198,1263,0,0,45803,18183,85
47ULB_09,False,0,0,0,0,0,57347,286,7903
50UMF_10,False,0,0,195,0,0,33569,0,31772
41TNE_28,False,0,0,0,49625,0,0,0,15911
45TWG_26,False,0,0,301,53078,0,0,12157,0
48QTK_24,False,0,26,0,0,0,53639,3073,8798
44TLN_21,False,0,0,29,563,0,7969,0,56975
45TYH_22,True,0,0,0,65536,0,0,0,0
49TFJ_05,False,0,0,0,58368,0,0,0,7168
49QCE_23,False,6,124,7178,0,0,14318,43857,53
44TLN_19,True,3,0,0,13193,656,0,0,51684
46UGV_09,False,0,0,5,0,0,14749,0,50782
39TXM_12,False,2,42,2578,717,0,0,0,62197
45RWM_27,True,0,1612,0,7168,0,0,0,56756
41TNE_10,False,84,435,6523,0,5,163,56246,2080
50UMF_28,False,0,359,81,0,55,58295,0,6746
45TYH_25,False,0,0,0,65536,0,0,0,0
48QTK_23,False,0,0,275,0,22,42738,3733,18768
44TLN_26,True,2,0,2926,0,2,4372,22727,35507
50UMF_17,False,0,0,0,0,3,50644,0,14889
45TWG_21,False,0,0,0,65536,0,0,0,0
45RWM_18,False,0,5620,0,56844,0,0,0,3072
49QCE_15,False,0,1109,1507,0,0,40461,21826,633
43QBD_03,False,0,0,20,0,0,6,65455,55
47TQM_03,False,20,1299,0,3721,3001,7382,0,50113
45TWG_28,False,0,0,0,65536,0,0,0,0
41TNE_26,False,0,0,0,65536,0,0,0,0
47ULB_07,False,0,0,0,0,0,60638,75,4823
51PWM_04,False,0,0,4,0,0,150,65335,47
39TXM_24,False,0,0,0,30503,0,0,0,35033
57UWA_04,False,5,0,0,0,0,261,0,65270
45RWM_11,False,5,337,14,0,1,37851,81,27247
53UNS_06,False,0,0,3,0,14,542,0,64977
45TYH_13,False,0,0,0,65536,0,0,0,0
46UGV_00,False,0,65536,0,0,0,0,0,0
44TLN_10,False,9,0,0,0,0,36021,72,29434
48QTK_15,False,0,0,16,0,0,49290,1269,14961
50TLP_05,True,0,0,1062,0,0,33,51537,12904
45TWG_17,False,0,0,0,65536,0,0,0,0
41TNE_19,False,0,0,0,65536,0,0,0,0
50UMF_21,False,0,0,188,0,0,43822,0,21526
51PWM_03,False,0,20,0,0,3,65483,30,0
39TXM_23,False,0,0,200,0,0,0,0,65336
57UWA_03,False,0,0,0,0,0,65536,0,0
45RWM_16,False,0,0,0,65407,0,0,0,129
47ULB_00,False,0,12335,86,0,349,43750,1920,7096
50UMF_19,False,0,0,219,0,0,40558,0,24759
47TQM_04,False,0,0,0,0,0,65382,0,154
41TNE_21,False,0,0,0,65536,0,0,0,0
49QCE_12,True,4,4749,1741,0,0,43997,14933,112
43QBD_04,False,0,6517,5520,161,0,73,3,53262
44TLN_28,False,22,163,3,8343,3,12973,256,43773
45TWG_10,True,0,0,0,65536,0,0,0,0
50UMF_26,True,0,0,580,0,673,21174,0,43109
50TLP_02,False,1,0,0,65535,0,0,0,0
45RWM_29,False,9,12437,471,17898,0,540,4492,29689
44TLN_17,True,7,0,1,55121,0,189,40,10178
48QTK_12,False,0,0,717,0,0,59677,273,4869
45TYH_14,False,0,0,9,65527,0,0,0,0
46UGV_07,False,0,0,0,0,0,60478,0,5058
53UNS_01,False,0,2627,10099,0,616,2,0,52192
42UVA_25,True,0,0,81,0,0,3,1345,64107
41TMN_05,False,0,0,0,0,0,0,0,65536
47UMA_18,True,0,1,13,0,0,17171,1432,46919
48SVA_26,False,0,0,2,0,0,40236,24962,336
53TLM_19,True,0,0,27,0,0,0,65500,9
47RLN_11,False,1,0,0,20200,24542,2527,0,18266
57VVE_23,False,0,65536,0,0,0,0,0,0
54MYA_07,False,0,3,0,0,636,45113,0,19784
46TDT_17,True,0,0,0,0,14,0,0,65522
51QUG_27,False,0,9756,1,623,0,53284,0,1872
46REU_02,False,0,0,0,0,65536,0,0,0
50TNT_05,False,0,0,0,0,0,0,0,65536
38TLL_08,False,1,0,1287,0,4,23980,27876,12388
46RFV_12,False,4,11,0,2974,54690,1202,0,6655
50MLC_26,False,0,0,0,0,0,30775,27,34734
48MTE_04,False,116,13,165,0,0,940,44320,19982
44QMG_26,False,0,0,1,0,0,32248,104,33183
42SXG_00,True,9,47898,0,15585,0,11,0,2033
48SVA_19,False,0,2105,1575,0,0,3,47171,14682
53TLM_26,True,0,3057,0,0,0,235,32,62212
47UMA_27,False,0,150,0,0,0,15706,10,49670
44QMG_19,False,75,361,2029,0,0,6327,40640,16104
39UUS_23,True,1,103,2282,0,0,1306,31939,29905
45UXV_04,False,0,0,14,0,0,27,64880,615
50MRA_11,False,5,36,2055,0,170,1697,60819,754
50MLC_19,False,0,0,45,0,0,36223,5308,23960
50SPF_14,False,3,0,251,0,0,8253,1578,55451
51QUG_18,False,0,811,19,0,6,61056,71,3573
36SXH_02,False,0,34843,74,0,9851,3004,1528,16236
46TDT_28,True,0,0,0,61444,0,0,0,4092
50MRA_29,False,40,0,8396,0,2,55,52275,4768
48MTE_03,False,0,0,0,0,0,23,65513,0
44QMG_21,False,0,0,0,0,0,65048,0,488
46REU_05,False,6,0,240,1071,1,2053,1,62164
50TNT_02,False,0,0,0,62464,0,0,0,3072
46RFV_15,True,0,0,507,0,0,1177,3785,60067
50MLC_21,True,0,0,1674,0,0,3127,60678,57
46TDT_10,False,5,0,0,62890,2,0,0,2639
51QUG_20,False,0,0,0,0,0,31532,1712,32292
54MYA_00,False,0,65536,0,0,0,0,0,0
57VVE_24,False,0,0,0,0,0,30247,0,35289
48SVA_21,False,0,0,0,0,0,58452,606,6478
47RLN_16,False,6,0,0,0,65530,0,0,0
42UVA_22,False,1,0,0,0,0,0,0,65535
41TMN_02,False,0,0,0,65536,0,0,0,0
36SXH_05,False,0,0,181,971,2,2034,97,62251
50SPF_13,False,17,482,3245,0,12,0,60287,1493
39UUS_24,True,0,0,12514,0,0,3978,45014,4030
45UXV_03,False,0,0,0,0,0,65535,0,1
50MRA_16,False,0,0,0,0,0,65531,5,0
47UMA_20,True,2,1314,9,0,158,32733,1837,29483
47RLN_29,False,0,1958,0,63570,0,2,0,6
53TLM_21,False,0,0,187,0,0,61330,2604,1415
42SXG_07,False,0,0,0,42072,2031,0,0,21433
50MLC_17,False,0,135,55,0,0,60854,701,3791
46RFV_23,False,0,2535,85,0,71,26359,3990,32496
51QUG_16,False,0,335,658,0,960,46432,9276,7875
46TDT_26,True,0,0,0,61317,0,0,0,4219
44QMG_17,True,15,12163,78,14,0,31355,10401,11510
47RLN_20,False,5,0,0,19476,38597,1763,0,5695
48SVA_17,False,12,1,824,0,0,53715,1805,9179
53TLM_28,False,0,0,0,0,0,63989,0,1547
47QKC_03,True,0,0,53,0,0,6,65477,0
47UMA_29,False,0,4470,11,0,0,49280,395,11380
42UVA_14,False,0,0,0,0,0,0,0,65536
57VVE_12,False,0,65536,0,0,0,0,0,0
50MRA_20,True,4,44,1986,0,0,7500,52623,3379
44QMG_28,False,0,0,3643,0,0,8562,41442,11889
39UUS_12,False,0,27,2069,0,0,414,62876,150
46TDT_19,True,0,0,0,64783,0,0,0,753
51QUG_29,False,0,0,0,0,0,63014,1231,1291
50SPF_25,False,8,3,7924,0,72,0,57529,0
50MLC_28,False,0,11,1471,0,0,5,63997,52
38TLL_06,False,0,0,63,0,0,89,0,65384
50MRV_04,False,0,187,4318,0,122,1652,54281,4976
54MYA_09,False,0,1,0,0,51,62218,0,3266
43TFL_04,True,0,3038,0,1024,0,2,0,61472
47UMA_16,False,0,0,0,0,0,49659,0,15877
48SVA_28,False,0,0,76,0,0,49432,7285,8743
44RKV_03,True,15,0,0,0,65521,0,0,0
53TLM_17,False,0,0,257,0,0,31,61706,3542
57VVE_15,False,0,0,1,0,0,6772,0,58763
42SXG_09,False,0,0,0,0,0,3732,0,61804
47QKC_04,True,0,0,172,0,0,4010,997,60357
42UVA_13,True,0,0,0,0,0,0,0,65536
47RLN_27,False,0,0,0,0,60416,0,0,5120
48SVA_10,False,0,0,0,0,0,59757,1641,4138
44QMG_10,False,0,0,453,0,0,35981,19977,9125
50MRA_18,True,0,65456,0,0,80,0,0,0
51QUG_11,False,0,2,6,0,142,62603,325,2458
46TDT_21,False,0,0,0,65536,0,0,0,0
50MLC_10,True,0,0,107,0,0,53,65334,42
46RFV_24,False,0,0,0,425,1270,2765,29,61047
44RKV_04,True,0,0,0,0,0,65361,175,0
53TLM_10,True,0,0,14,0,0,755,9584,55183
47RLN_18,True,0,0,0,55988,9548,0,0,0
47UMA_11,False,0,0,0,0,1,5821,2,59712
43TFL_03,False,0,0,0,64512,0,0,0,1024
50MRV_03,False,0,2,0,0,26,64542,549,417
50SPF_22,False,70,0,6713,0,0,32429,3291,23033
38TLL_01,False,4,0,64328,0,0,177,917,110
50MRA_27,False,4,3,4352,0,0,407,57676,3094
39UUS_15,False,0,17,14012,0,37,330,48566,2574
52UEA_27,False,0,0,0,0,0,64026,23,1487
47ULP_22,False,0,2583,58,0,93,10891,63,51848
39RYM_00,True,0,65536,0,0,0,0,0,0
40TES_08,False,12,0,0,65497,0,0,0,27
44RLQ_24,False,0,149,1663,0,30,860,62525,309
49TFK_02,False,3,0,0,54269,0,0,0,11264
41TLL_14,False,0,0,0,65536,0,0,0,0
52UEA_18,False,0,0,0,0,0,57533,24,7979
49TFK_05,True,0,0,0,0,0,0,0,65536
43SER_09,False,65,0,3242,9,0,43,61297,880
44RLQ_23,False,0,1821,3195,0,49,4143,45687,10641
47ULP_25,False,0,0,1,6230,0,0,0,59305
39RYM_07,False,0,0,53,65105,0,0,0,378
52UEA_20,False,0,1650,4584,0,567,20260,2713,35762
43SCS_01,False,121,0,51133,0,0,18,14196,68
36SWF_08,False,0,0,1794,0,0,1860,71,61811
41TLL_13,False,0,0,0,65536,0,0,0,0
43SCS_08,False,0,0,15024,0,0,426,0,50086
36SWF_01,False,0,0,0,65536,0,0,0,0
44RLQ_15,False,0,34,6879,0,29,431,48498,9665
52UEA_16,False,0,0,23,0,0,2595,52294,10624
47ULP_13,False,0,0,0,12319,0,110,0,53107
37TFJ_04,False,0,0,7,0,0,65515,14,0
53UMB_02,True,0,437,122,0,17950,877,0,46150
43SER_00,False,0,65536,0,0,0,0,0,0
50SLB_04,False,0,306,245,0,0,8,64977,0
51UXB_05,False,0,341,84,0,138,49309,0,15664
41TLL_25,False,10,0,29,4014,0,2,1476,60005
48UUA_03,False,0,0,0,0,0,64119,0,1417
40TES_06,False,2,0,110,22622,0,0,0,42802
52UEA_29,False,0,0,0,0,0,49882,1618,14036
47ULP_14,False,0,46,0,0,6144,25252,0,34094
52UEA_11,False,0,0,0,0,0,36612,0,28924
44RLQ_12,True,0,0,948,0,105,2114,59328,3041
36SWF_06,False,1,110,513,0,0,1494,1048,62370
41TLL_22,False,0,2853,0,36338,4,39,0,26302
48UUA_04,True,0,0,180,0,0,0,65315,41
39RYM_09,False,0,0,0,62464,0,0,0,3072
51UXB_02,False,0,707,3977,394,1361,30106,0,28991
50SLB_03,False,0,313,12317,0,0,12232,38616,2058
53UMB_05,False,0,0,0,0,0,34169,0,31367
43SER_07,False,2,0,2452,0,0,0,63072,10
37TFJ_03,False,325,2938,91,0,10282,31,3,51866
43UET_05,True,0,0,0,0,0,0,0,65536
41TMH_12,False,0,0,0,65536,0,0,0,0
42TUM_29,False,0,0,0,65536,0,0,0,0
47RPQ_26,False,242,0,0,6972,10954,975,0,46393
52TDL_15,True,0,0,0,0,0,58493,3251,3792
38UQU_28,False,165,2858,1,4265,37,11,0,58199
48RTR_05,False,97,0,2258,0,0,2299,59014,1868
44TNL_07,False,0,0,0,65536,0,0,0,0
45VXD_00,False,0,15552,564,0,2613,6090,1292,39425
53SKU_03,True,0,0,0,0,0,65268,0,268
43SGA_24,False,6,0,0,31863,24026,0,0,9641
42UVD_15,False,0,0,415,0,434,1128,57572,5987
51TUK_26,True,0,0,1178,3297,0,0,2048,59013
45RTP_16,True,0,0,0,65536,0,0,0,0
48TXL_10,False,0,0,0,65536,0,0,0,0
38UQU_17,False,11,0,0,14103,0,145,0,51277
51NYG_12,True,0,19,100,0,8,31604,7706,26099
45UXT_23,False,0,0,0,0,43,43319,0,22174
47RPQ_19,False,43,0,0,0,4798,7070,0,53625
52TES_05,True,0,0,76,0,0,10026,474,54960
42TUM_16,False,0,0,0,65536,0,0,0,0
48QZM_22,False,38,273,4601,0,142,5900,31941,22641
46TGR_08,False,0,0,0,65525,0,0,0,11
45RTP_29,False,0,0,0,61292,0,0,0,4244
47TPL_04,False,101,0,16,22047,0,39011,0,4361
48SWH_12,True,10,35,16756,0,5,0,44912,3818
38PMV_12,True,0,0,0,0,0,0,0,65536
54MUT_14,False,16,4524,0,0,0,2920,0,58076
47UNS_04,False,0,0,0,0,0,65528,0,8
51TUK_19,False,0,0,327,0,0,46370,6231,12608
42RYS_03,False,60,0,1116,50,0,259,51286,12765
48QWF_21,False,1667,774,2746,0,0,988,41140,18221
37SFU_06,False,0,0,5362,31693,0,108,22622,5751
51UUB_12,True,0,0,2,0,23,14528,0,50983
45RTP_11,False,0,278,0,23917,0,0,0,41341
48TXL_17,False,0,0,0,65530,0,0,0,6
51TUK_21,False,236,4725,7733,5158,261,105,6827,40491
53SKU_04,False,606,454,13246,0,0,354,48059,2817
45VXD_07,False,0,0,0,0,0,60913,0,4623
43SGA_23,False,0,0,0,611,64925,0,0,0
48QWF_19,False,241,1056,5193,0,0,3,50103,8940
42UVD_12,False,0,0,4364,0,290,3497,36285,21100
44TNL_00,False,0,54278,1025,0,180,830,6821,2402
48RTR_02,True,26,17,1118,0,0,25988,13706,24681
52TDL_12,False,0,5,32,0,15,30121,221,35142
47RPQ_21,False,0,0,0,1024,0,1870,0,62642
43UET_02,False,0,38,340,0,27193,2450,2330,33185
41TMH_15,False,0,0,0,65536,0,0,0,0
48QWF_26,False,29,0,684,0,0,2055,5477,57291
37SFU_01,True,139,0,11089,3072,0,40,51193,3
51UUB_15,False,0,0,0,0,0,25654,0,39882
54MUT_13,True,0,0,0,0,0,58071,0,7465
47UNS_03,False,0,0,0,0,30,50718,0,14788
42RYS_04,True,0,0,0,62464,0,0,0,3072
48SWH_15,False,0,0,0,57062,0,0,8311,163
38PMV_15,False,6,22282,27821,15368,0,42,17,0
48TXL_28,False,0,0,151,65385,0,0,0,0
47TPL_03,False,0,0,0,62503,3033,0,0,0
48QZM_25,False,0,18,9,0,0,50132,2540,12837
52TES_02,False,18,4107,39508,0,13080,5957,230,2636
42TUM_11,False,0,0,0,65536,0,0,0,0
45UXT_24,False,0,0,0,0,53,12229,0,53254
41VNE_09,False,0,0,0,0,3,48295,11511,5727
38UQU_10,False,0,0,6,50853,0,158,2,14517
51NYG_15,False,0,110,173,0,0,38465,7339,19449
51TUK_17,False,0,0,274,0,0,78,51051,14133
37SFU_08,False,25,0,0,65511,0,0,0,0
42UVD_24,False,0,0,3415,0,9,304,47079,14729
43SGA_15,False,0,684,0,60647,3495,0,0,710
40UEB_03,False,16,2557,42629,0,7151,4940,59,8184
48TXL_21,True,106,3,877,61344,25,10,3,3168
45RTP_27,False,2,0,0,51198,0,0,0,14336
47RPQ_17,False,11,0,0,1929,2867,1735,0,58994
46REP_03,False,1,201,1268,0,0,0,64066,0
42TUM_18,True,0,0,0,65536,0,0,0,0
41TMH_23,False,0,0,0,65536,0,0,0,0
46TGR_06,True,0,0,0,8835,1024,0,0,55677
38UQU_19,True,0,138,0,9277,0,24,15,56082
52TDL_24,False,0,0,0,0,0,65222,10,304
41VNE_00,False,0,64752,0,0,52,2,0,730
38PMV_23,True,0,0,0,15169,0,0,0,50367
48SWH_23,False,1,0,1115,43151,0,0,11912,9357
45RTP_18,False,0,0,0,65536,0,0,0,0
51UUB_23,False,0,34,0,0,0,62187,0,3315
48QWF_10,False,2,65534,0,0,0,0,0,0
51TUK_28,False,0,0,0,0,0,0,34380,31156
54MUT_25,False,0,0,0,0,0,64796,0,740
45UXT_12,False,0,242,35,0,7477,36544,0,21238
51NYG_23,False,0,0,0,0,0,55134,6569,3833
38UQU_26,False,0,0,508,7635,0,6687,608,50098
44TNL_09,True,0,0,0,48953,0,0,0,16583
48QZM_13,False,0,0,282,0,0,38759,4354,22141
42TUM_27,False,0,0,2,62464,0,0,0,3070
47RPQ_28,True,10,0,3,0,0,16097,148,49278
52TDL_23,False,0,0,2557,0,377,14850,41214,6538
41VNE_07,True,0,0,28,0,285,47301,2206,15716
41TMH_24,False,0,0,0,65536,0,0,0,0
46TGR_01,False,0,0,0,65536,0,0,0,0
47RPQ_10,True,0,0,51,0,0,52089,4983,8413
46REP_04,True,0,0,0,0,0,65534,0,2
40UEB_04,False,0,23,547,0,1,48150,91,16724
48TXL_26,False,0,0,0,65536,0,0,0,0
45RTP_20,False,0,0,0,65536,0,0,0,0
48QWF_28,False,0,0,0,0,0,18920,1543,45073
42UVD_23,False,0,0,4928,0,0,2219,34117,24272
43SGA_12,False,1,0,0,31336,22672,0,0,11527
51TUK_10,False,0,0,0,0,0,0,5548,59988
42TUM_20,False,0,0,0,65536,0,0,0,0
48QZM_14,False,0,9,75,0,12,54380,5310,5750
51NYG_24,False,0,7970,140,0,0,16274,34241,6911
38UQU_21,False,0,0,0,12938,0,0,0,52598
45UXT_15,False,0,0,0,0,57,46438,0,19041
54MUT_22,False,0,0,0,0,0,48907,0,16629
45VXD_09,False,0,0,0,0,0,63653,1,1882
51UUB_24,False,0,0,0,0,0,34305,0,31231
48QWF_17,False,174,298,1843,0,0,8,36684,26529
48TXL_19,False,0,0,256,64892,0,0,0,388
38PMV_24,False,0,0,0,64492,0,0,1044,0
48SWH_24,False,0,0,0,65536,0,0,0,0
36SWF_07,False,0,188,0,0,0,9887,887,54574
44RLQ_13,True,0,37,2038,0,87,1855,60676,843
47ULP_15,False,0,0,1,1147,0,0,130,64258
52UEA_10,False,0,0,0,0,0,48377,1,17158
50SLB_02,False,0,0,58165,0,14,0,7357,0
51UXB_03,False,0,0,0,0,0,65526,0,10
